source_id,restaurant_id,source_type,language,source_url,collected_at,license_note,local_path,notes
menu_001001,rest_001001,pdf,en,https://www.julii.com/pdfmenu,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from public JULII brunch and dinner references with normalized English text and normalized RUB prices.
menu_001002,rest_001002,html,en,https://brunchroombistro.com/menu,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from the public Brunch Room Bistro menu page with normalized English text and normalized RUB prices.
menu_001003,rest_001003,html,en,https://bistronota.com/restaurant-fort-wayne/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from public Bistro Nota brunch and dinner references with normalized English text and normalized RUB prices.
menu_001004,rest_001004,pdf,en,https://www.parkbistrolafayette.com/eat,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from public Park Bistro dinner and brunch references with normalized English text and normalized RUB prices.
menu_001005,rest_001005,html,en,https://www.thebistroec.com/menu,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,"Training-ready v2 subset built as a source-grounded synthetic expansion from The Bistro menu page with normalized English text and normalized RUB prices."
menu_001006,rest_001006,pdf,en,https://www.fourthstreetrestaurant.com/menu/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from Fourth Street Bistro references with normalized English text and normalized RUB prices.
menu_001007,rest_001007,html,en,https://bistromenil.com/menus/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from Bistro Menil menu references with normalized English text and normalized RUB prices.
menu_001008,rest_001008,pdf,en,https://bistronj.com/download-menus/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 subset built as a source-grounded synthetic expansion from The Bistro at Haddonfield PDF references with normalized English text and normalized RUB prices.
menu_001009,rest_001009,html,en,https://bistro-72.com/menus/family-style-menu/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 validation subset built as a source-grounded synthetic expansion from the public Bistro 72 menu page with normalized English text and normalized RUB prices.
menu_001010,rest_001010,html,en,https://www.cheersamericanbistro.com/all-day-dining/,2026-03-09,Public restaurant menu page referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 validation subset built as a source-grounded synthetic expansion from Cheers American Bistro references with normalized English text and normalized RUB prices.
menu_001011,rest_001011,pdf,en,https://www.ihg.com/hotelmedia/repository/concierge/MIDHA/5540/1618078762_menu.pdf,2026-03-09,Public hotel dining PDF referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 test subset built as a source-grounded synthetic expansion from the official hotel dining PDF reference with normalized English text and normalized RUB prices.
menu_001012,rest_001012,pdf,en,https://www.ahstatic.com/pdf/9101_rsr002_00_t_x_gb.pdf,2026-03-09,Public hotel dining PDF referenced for source-grounded synthetic expansion and manual labeling; raw captures are not redistributed.,,Training-ready v2 test subset built as a source-grounded synthetic expansion from a public hotel dining PDF reference with normalized English text and normalized RUB prices.
